title,company,site,it_role_type,city,final_tech_stack
Mobile Fullstack Developer,MINU PTE. LTD.,LinkedIn,Mobile Developer,Hà Nội,"Typescript, Docker, Javascript, React, Php, Dart"
Senior Java Engineer（Listed Company）,Slasify,LinkedIn,Backend Developer,Not Specified,"Java, Aws, Docker"
Software Engineer,Eureka Robotics,LinkedIn,Software Engineer,Hà Nội,"Docker, C++, Python"
Senior Java Software Engineer,Axon Active - Agile Software Development Company,LinkedIn,Software Engineer,Hồ Chí Minh,"Java, Agile, Sql"
Senior Frontend Developer,NFQ,LinkedIn,Frontend Developer,Đà Nẵng,"React, Typescript, Javascript"
Software Test Engineer,VinAI,LinkedIn,Software Test Engineer,Hồ Chí Minh,"C++, C"
QA Automation Engineer,HRS Group,LinkedIn,QA Engineer,Hồ Chí Minh,"Agile, Javascript"
Generative AI Engineer,INNOMIZE,LinkedIn,Generative AI Engineer,Hồ Chí Minh,"Docker, Aws, Python"
Freelance Software Developer,Mindrift,LinkedIn,Software Developer,Not Specified,Java
"Senior Software Engineer, Backend",Grab,LinkedIn,Senior Software Engineer,Hồ Chí Minh,Golang
Junior Security Engineer,AvePoint,LinkedIn,Cybersecurity Specialist,Hà Nội,"Javascript, Aws, Python, Java, C#"
Mid-Level Nuxt/Vue Web Developer,WorkWave,LinkedIn,Frontend Developer,Hồ Chí Minh,"Typescript, Javascript, Aws, React, Html/Css, Php, Agile, Css"
Game Experience Designer,Colonist,LinkedIn,Game Developer,Hồ Chí Minh,"C#, Javascript"
Associate/Junior Solution Support Engineer,SAP,LinkedIn,Technical Support Engineer,Hồ Chí Minh,Not Specified
Backend Engineer,Moatable,LinkedIn,Backend Developer,Hồ Chí Minh,"Java, Aws, Sql"
C/C++ Developer,FPT Software Career,LinkedIn,C/C++ Developer,Hồ Chí Minh,"C++, C#"
PHP Developer,Kasatria Technologies,LinkedIn,Backend Developer,Hồ Chí Minh,Php
Flutter Developer,VARS TECH,LinkedIn,Mobile Developer,Đà Nẵng,"Agile, Dart"
C++ Developer,CMC Global Company Limited.,LinkedIn,C++ Developer,Đà Nẵng,"C++, Java"
Kỹ sư Phát triển phần mềm,Viettel High Tech,LinkedIn,Backend Developer,Hà Nội,"Sql, Javascript, C++, Go, Python, Java, Html, Css"
HO - Data Engineering Expert,ACB - Asia Commercial Bank,LinkedIn,Data Engineer,Hồ Chí Minh,"Scala, Sql, Python"
Analytics Engineer,TymeX,LinkedIn,Analytics Engineer,Hồ Chí Minh,"Agile, Sql, Python"
Fullstack TypeScript Developer,L4 Studio - Software Development Company,LinkedIn,Fullstack Developer,Hồ Chí Minh,"React, Typescript, Javascript"
Backend Engineer,Xsoft Company,LinkedIn,Backend Engineer,Hồ Chí Minh,"Docker, Aws, C#, Sql"
Senior Java Software Engineer,KMS Healthcare,LinkedIn,Software Engineer,Hồ Chí Minh,"Sql, Javascript, Agile, Aws, Java, Html, Css"
Backend Engineer,Trusting Social Career Page,LinkedIn,Backend Developer,Hồ Chí Minh,"Docker, Aws, Go, Java, Agile"
Mid/Senior/ Lead Java Engineer,NAB Innovation Centre Vietnam,LinkedIn,Java Engineer,Hà Nội,"Java, Aws, Agile, Docker"
Senior Java Software Engineer,GEM Careers,LinkedIn,Software Engineer,Hà Nội,"Sql, Javascript, Aws, React, Java"
Senior Fullstack Engineer,Saola Labs,LinkedIn,Fullstack Developer,Hồ Chí Minh,"Typescript, Docker, Aws, React, Css"
Senior Software Engineer,clearer.io,LinkedIn,Software Engineer,Hồ Chí Minh,"Docker, Javascript, Node.Js, Aws, Go, React, Python, Php"
Java/Kotlin Engineer,"Money Forward Vietnam Co., Ltd",LinkedIn,Backend Developer,Hồ Chí Minh,"Sql, Docker, Kotlin, Aws, Java, Agile"
Mid/Senior Backend Engineer,NAVER VIETNAM,LinkedIn,Backend Developer,Hồ Chí Minh,"Java, Docker"
Mobile Flutter Developer,Elfie,LinkedIn,Mobile Developer,Hồ Chí Minh,Dart
Software Engineer,Fujitsu,LinkedIn,Software Engineer,Hà Nội,"Sql, Javascript, React, Java, Html, Css"
Data Scientist（LLM）,Binance,LinkedIn,Data Scientist,Hồ Chí Minh,"C/C++, Python"
Freelance Software Developer,Mindrift,LinkedIn,Software Developer,Not Specified,Java
SOFTWARE ENGINEER,AvePoint,LinkedIn,Software Engineer,Hà Nội,"Css3, Html5, Sql, Javascript, React, Java, C#"
"Developers: Frontend, Backend and Full-Stack",Colonial Surety Company,LinkedIn,Full-stack Developer,Hồ Chí Minh,"Sql, Docker, Javascript, React, Java, Php, Agile, Ruby"
Full-Stack Developer,Varmeta,LinkedIn,Full-stack Developer,Hà Nội,"React, Javascript, Php"
Senior Fullstack Engineer,SCC,LinkedIn,Full-stack Developer,Hồ Chí Minh,"Typescript, Aws, Python, Agile, C#"
C/C++ Developer,FPT Software Career,LinkedIn,C/C++ Developer,Hồ Chí Minh,"C++, C#"
PHP Developer,BeyondEdge,LinkedIn,Backend Developer,Hồ Chí Minh,"Javascript, Html/Css, Php, Html, Css"
Kỹ sư phần mềm,GENKI SYSTEM,LinkedIn,Software Engineer,Hồ Chí Minh,Java
Node.js Backend Developer,Finviet Technology,LinkedIn,Backend Developer,Hồ Chí Minh,"React, Javascript"
DevOps Engineer,Saigon Technology - Accelerate Software Development,LinkedIn,DevOps Engineer,Hồ Chí Minh,"Docker, Aws, Bash, Powershell, Agile"
【教育事業】SREエンジニア,Dwango corp,LinkedIn,SRE Engineer,Hồ Chí Minh,"Docker, Aws, Python"
Fullstack NodeJS/ Python+ReactJS/Golang+ReactJS,CMC Global Company Limited.,LinkedIn,Full-stack Developer,Hà Nội,"Docker, Javascript, React, Python, Golang"
Backend Engineer,Trusting Social Career Page,LinkedIn,Backend Engineer,Hồ Chí Minh,"Sql, Go, React, Python, Java, C#"
AI Engineer,Hitachi Digital Services,LinkedIn,AI Engineer,Hồ Chí Minh,"Aws, Agile, Sql, Python"
Senior Java Software Engineer,Tinh Van Software,LinkedIn,Software Engineer,Hồ Chí Minh,"Java, Sql"
SQL developer,Jaish Global Tech Private Limited,LinkedIn,Database Engineer,Not Specified,"Sql, Python"
Full Stack Engineer - Python Angular/Reactjs,FPT Software Career,LinkedIn,Full-stack Developer,Hà Nội,"Typescript, Sql, Docker, Aws, Go, Python"
Sr Front-End React JS Software Developer / Engineer | 100% Remote | SaaS | Construction Tech,Clue Insights,LinkedIn,Frontend Developer,Hồ Chí Minh,"Aws, React, Javascript, Sql"
Back End Developer,HCLTech Vietnam,LinkedIn,Backend Developer,Hà Nội,"Docker, Node.Js, Kotlin, Go, Python, Java"
AI Engineer,Elcom Corporation,LinkedIn,AI Engineer,Hà Nội,"C++, Python"
Senior Frontend Engineer,CODE LEAP,LinkedIn,Frontend Developer,Hồ Chí Minh,"Aws, Typescript, Javascript, Agile"
Full Stack Developer,MED-AID COMPANY,LinkedIn,Full-stack Developer,Hà Nội,"C, Javascript, Python"
Fullstack Developer,ADI Consulting VN,LinkedIn,Full-stack Developer,Hồ Chí Minh,"React, Java, Nodejs, Golang, Php, Agile"
Bridge Software Engineer,Hitachi Consulting ( formerly Information Management Group),LinkedIn,Bridge Software Engineer,Đà Nẵng,"Java, React, Agile, Javascript"
Lead Java Developer,Capgemini,LinkedIn,Lead Java Developer,Hồ Chí Minh,"Docker, Aws, Python, Java, Agile"
Sr. Software Engineer,Persefoni,LinkedIn,Frontend Developer,Hồ Chí Minh,"Typescript, Docker, Javascript, React, Agile, Css"
[HN] Japan AI - Full Stack Developer,Geniee International Group,LinkedIn,Full-stack Developer,Hà Nội,"Typescript, Sql, Docker, Javascript, React, Python"
Senior Backend Engineer,"Money Forward Vietnam Co., Ltd",LinkedIn,Backend Developer,Hồ Chí Minh,"Java, Aws, Sql, Docker"
Intermediate Backend Engineer,Employment Hero,LinkedIn,Backend Developer,Hồ Chí Minh,"Python, Java, Php, Agile, Ruby"
Freelance Software Developer,Mindrift,LinkedIn,Software Developer,Not Specified,C++
Software Engineer,OPSWAT,LinkedIn,Software Engineer,Hồ Chí Minh,"C++, C#, Python, Agile"
PHP Developer,BeyondEdge,LinkedIn,Backend Developer,Hồ Chí Minh,"Php, Html, Javascript, Css"
Senior PHP Developers,Công Ty TNHH BBQ Việt Nam,LinkedIn,Backend Developer,Hồ Chí Minh,Php
Odoo Developer,Dayone Technologies,LinkedIn,Odoo Developer,Hồ Chí Minh,"Aws, React, Python"
Quality Control Engineer,Kyanon Digital,LinkedIn,QA Engineer,Hồ Chí Minh,Not Specified
Kỹ sư Phần mềm ứng dụng,Viettel High Tech,LinkedIn,Software Engineer,Hà Nội,"C++, C#, C"
Lập trình viên PHP,Tigren,LinkedIn,Backend Developer,Hà Nội,Php
Backend Software Engineer II,Axon,LinkedIn,Backend Developer,Hồ Chí Minh,"Sql, Go, Python, Java, Scala, C#"
DevOps Engineer,CMC Global Company Limited.,LinkedIn,DevOps Engineer,Hồ Chí Minh,Aws
Full-Stack Software Engineer,ĐÚNG NGƯỜI ĐÚNG VIỆC Community,LinkedIn,Full-stack Developer,Hà Nội,"Javascript, Python, Java, Html, Css"
C++ Engineer,WorldQuant,LinkedIn,C++ Engineer,Hồ Chí Minh,"C++, Python"
Nhân viên QA,Thương Mại Điện Tử Toàn Quốc,LinkedIn,QA Engineer,Hà Nội,
Python Developer,HCLTech Vietnam,LinkedIn,Backend Developer,Hồ Chí Minh,"React, Typescript, Javascript, Python"
AngularJS Developer,Metrixa,LinkedIn,Frontend Developer,Hà Nội,Javascript
Shd | Senior Fullstack Engineer,CBTW APAC,LinkedIn,Full-stack Developer,Hồ Chí Minh,"Java, Javascript"
Back End Engineer,Pollen,LinkedIn,Backend Developer,Hồ Chí Minh,"Sql, Docker, Node.Js, Javascript, Aws, Python, Java, Ruby"
Kỹ sư Kiểm thử phần mềm,Viettel Telecom,LinkedIn,QA Engineer,Hà Nội,"Agile, Sql"
Backend Developer Supervisor,SAPP Academy,LinkedIn,Backend Developer,Hà Nội,
Middle QC Engineer,LOGIX TECHNOLOGY,LinkedIn,QA Engineer,Hồ Chí Minh,"Sql, Javascript, Agile, Html/Css, Html, Css"
Java Software Engineer,Rabiloo,LinkedIn,Backend Developer,Hà Nội,"Java, React"
Senior Java Developer,Outpost24 Benelux (ex-Sweepatic),LinkedIn,Backend Developer,Hà Nội,"Java, Agile, Sql, Python"
Senior Java Full-Stack Developer,Hitachi Digital Services,LinkedIn,Full-stack Developer,Hồ Chí Minh,"Java, React, Sql"
[HN] Japan AI - Back End Developer,Geniee International Group,LinkedIn,Backend Developer,Hà Nội,"Typescript, Sql, Docker, React, Python"
Senior Software Engineer - Frontend,ShopBack,LinkedIn,Frontend Developer,Hồ Chí Minh,"Html, Javascript, Typescript, Css"
AI Resident,Qualcomm,LinkedIn,AI Engineer,Hà Nội,Python
,CEVA Logistics,LinkedIn,Java Developer,Hồ Chí Minh,"Java, Aws, Agile"
Freelance Software Developer,Mindrift,LinkedIn,Software Developer,Not Specified,Python
Senior PHP Developers,Công Ty TNHH BBQ Việt Nam,LinkedIn,Software Engineer,Hồ Chí Minh,Php
Unity Game Developer - MINTROCKET,Nexon Networks Vina,LinkedIn,Game Developer,Hồ Chí Minh,C#
Thực tập sinh Phát triển Mã Coin,ĐÚNG NGƯỜI ĐÚNG VIỆC Community,LinkedIn,Blockchain Engineer,Not Specified,"Typescript, Javascript, Python, Solidity"
C++ Developer,Innotech Vietnam Corporation,LinkedIn,C++ Developer,Hồ Chí Minh,C++
Nhân viên Kiểm thử phần mềm,DTS Communication Technologies,LinkedIn,QA Engineer,Hà Nội,Agile
Computer Vision Engineer,Aimesoft,LinkedIn,Computer Vision Engineer,Hà Nội,"C/C++, Python"
Senior PHP Developer,SGH Asia Ltd.,LinkedIn,Backend Developer,Hồ Chí Minh,"Docker, Php, Javascript, Python"
React Native Developer,bTaskee,LinkedIn,Mobile Developer,Hồ Chí Minh,"Xcode, Typescript, Docker, Javascript, React"
Senior Game Developer,Rikkeisoft,LinkedIn,Game Developer,Hà Nội,"Html5, Javascript"
Magento Developer,Second Talent,LinkedIn,Magento Developer,Hồ Chí Minh,"Mysql, Javascript, Agile, Aws, Php, Html, Css"
Kỹ sư Phát triển giao thức Streaming,Viettel High Tech,LinkedIn,Other IT Role,Hà Nội,"C++, C"
Dev Backend C#,Hconnect Pro,LinkedIn,Backend Developer,Hồ Chí Minh,"Java, C#, Python, Agile"
Senior Backend Engineer,TymeX,LinkedIn,Backend Engineer,Hồ Chí Minh,"Docker, Aws, Python, Java, Agile"
Embedded Software Engineer,HCLTech Vietnam,LinkedIn,Embedded Engineer,Hồ Chí Minh,C
Senior Frontend Developer,Hello Health Group,LinkedIn,Frontend Developer,Hồ Chí Minh,"Javascript, React, Html/Css, Html, Css"
[HN] AI ENGINEER - COMPUTER VISION,CMC Technology & Solution (CMC TS),LinkedIn,AI Engineer,Hà Nội,Python
Android Engineer,CODE LEAP,LinkedIn,Mobile Developer,Hồ Chí Minh,"Aws, Agile, React, Kotlin"
Game Designer,Gamee Studio,LinkedIn,Game Designer,Hà Nội,
Data Engineer,CEVA Logistics,LinkedIn,Data Engineer,Hồ Chí Minh,"Java, Aws, Agile, Sql"
Senior Java Engineer,Binance,LinkedIn,Backend Developer,Hồ Chí Minh,"Java, Aws"
Senior Java Developer,VTI,LinkedIn,Backend Developer,Hà Nội,"Java, Aws, Sql, Docker"
Fullstack Developer,CodeLink,LinkedIn,Full-stack Developer,Hà Nội,"Sql, Javascript, Aws, Python, Agile"
Automation QC Engineer,Floating Cube Studios,LinkedIn,QA Engineer,Hồ Chí Minh,"Sql, C, Agile, C++, Java, C#"
AI Engineer,One Mount,LinkedIn,AI Engineer,Hà Nội,"Aws, Sql, Python"
Blockchain Security Technical Support Engineer,Crypto.com,LinkedIn,Blockchain Security Technical Support Engineer,Hồ Chí Minh,"Rust, Solidity, Node.Js, Javascript, Python"
Software Engineer,FORTNA,LinkedIn,Software Engineer,Hà Nội,"C#, Sql"
Unity Game Developer - MINTROCKET,Nexon Networks Vina,LinkedIn,Game Developer,Hồ Chí Minh,C#
MMORPG Server Developer,Nexon Networks Vina,LinkedIn,Game Developer,Hồ Chí Minh,Not Specified
Binance Accelarator Program - Devops Engineer,Binance,LinkedIn,DevOps Engineer,Hồ Chí Minh,Not Specified
Chuyên viên Quản trị hệ thống phần mềm,Vietcombank Securities Company,LinkedIn,Other IT Role,Hà Nội,"Docker, Sql"
AI Engineer,Samsung Electronics HCMC CE Complex,LinkedIn,AI Engineer,Hồ Chí Minh,"Docker, Sql, Python"
Middle Java Developer,Nimbus Technology JSC,LinkedIn,Java Developer,Hồ Chí Minh,"Java, Javascript, Sql, Html/Css"
[LQA] React Native Developer,LTS Group,LinkedIn,Mobile Developer,Hà Nội,"Aws, React, Javascript"
Junior/Middle Manual QC Engineer,Saigon Technology - Accelerate Software Development,LinkedIn,QA Engineer,Đà Nẵng,"Aws, Agile, Not Specified"
[HN] Software Engineer,Base Careers,LinkedIn,Software Engineer,Hà Nội,"Php, Javascript"
Solution Android Engineer,Datalogic,LinkedIn,Solution Android Engineer,Hồ Chí Minh,"Java, Agile, Kotlin"
AI/ML Engineer,Wanek Furniture,LinkedIn,AI Engineer,Not Specified,"Aws, Python"
Frontend Developer,Cartrack,LinkedIn,Frontend Developer,Hồ Chí Minh,"Typescript, Sql, Docker, Javascript, Html/Css, Php, Html, Css"
QA Engineer,CODE LEAP,LinkedIn,QA Engineer,Hồ Chí Minh,"Agile, React"
Senior Java Software Engineer,KMS Healthcare,LinkedIn,Senior Java Software Engineer,Đà Nẵng,"Sql, Javascript, Agile, Aws, Html/Css, Java, Html, Css"
Application Engineer - Remote,Vault Cloud,LinkedIn,Application Engineer,Not Specified,"Agile, Ruby"
Senior Backend Engineer,NAVER VIETNAM,LinkedIn,Backend Developer,Hồ Chí Minh,Java
Chuyên viên Quản trị hệ thống Corebanking,BIDV (Bank for Investment and Development of Vietnam),LinkedIn,Chuyên viên Quản trị hệ thống Corebanking,Hà Nội,
VN Technology Full-stack Engineer,CADDi,LinkedIn,Full-stack Developer,Hà Nội,"Typescript, Rust, Aws, React, Python, Java, Agile"
Senior Java Full-Stack Developer,Hitachi Consulting ( formerly Information Management Group),LinkedIn,Full-stack Developer,Hồ Chí Minh,"Java, React, Sql"
Senior Java Developer,Techcombank (TCB),LinkedIn,Backend Developer,Hà Nội,"Java, Aws, Agile, Sql"
Front End Flutter Developer,LG CNS Vietnam,LinkedIn,Frontend Developer,Hà Nội,"Aws, Agile, Dart, Swift"
Full-stack Developer,Globant,LinkedIn,Full-stack Developer,Hà Nội,"Php, Javascript, Vue.Js"
Developer Fullstack,SOCOTEC,LinkedIn,Full-stack Developer,Hà Nội,"Java, Javascript, Docker, Sql"
[Cloud BI] Senior/Principal Frontend Engineer,"Money Forward Vietnam Co., Ltd",LinkedIn,Frontend Developer,Hồ Chí Minh,"Typescript, Docker, Javascript, Aws, React, Python, Agile"
Intermediate Backend Software Engineer,Employment Hero,LinkedIn,Backend Developer,Hồ Chí Minh,"Sql, Javascript, Agile, Aws, C#"
Analytics Engineer - BI & Planning,Shopee,LinkedIn,Data Engineer,Hồ Chí Minh,"Sql, Python"
MMORPG Server Developer,Nexon Networks Vina,LinkedIn,Game Developer,Hồ Chí Minh,Not Specified
C/C++ Developer,FPT Play,LinkedIn,C/C++ Developer,Hồ Chí Minh,"C++, Agile, C"
[HÀ NỘI/HẢI PHÒNG/BÌNH DƯƠNG] GIÁO VIÊN FULLTIME CÔNG NGHỆ & STEM,TEKY ACADEMY,LinkedIn,Giáo viên,Hà Nội,"Scratch, Javascript, Python, Java, Php, Html, Css"
AI Developer,Azeus Systems Limited,LinkedIn,AI Engineer,Hồ Chí Minh,"Sql, Docker, Javascript, C++, Aws, Python"
Junior AWS Devops,"SOTATEK., JSC",LinkedIn,DevOps Engineer,Hà Nội,"Rust, Docker, Node.Js, Aws, Go, Python, Java"
C/C++ Software Engineer,LG Electronics R&D Vietnam,LinkedIn,Software Engineer,Hà Nội,"C++, Agile, C"
Full Stack Developer,Eastgate Software - We Drive Digital Transformation,LinkedIn,Full Stack Developer,Hà Nội,"Docker, Javascript, Node.Js, Aws, React, Php, Html"
Android Engineer,what3words,LinkedIn,Android Engineer,Hồ Chí Minh,Kotlin
Senior Backend/Fullstack Software Engineer I,Axon,LinkedIn,Backend Developer,Hồ Chí Minh,"Javascript, Go, Html/Css, Java, Scala, Css"
[HN] Automation test - English Fluency,Sun* Vietnam,LinkedIn,Automation Tester,Hà Nội,"Sql, Agile, Python, Java, C#"
QA Engineer,Binance,LinkedIn,QA Engineer,Hồ Chí Minh,"Java, Sql"
.Net Software Engineer - Vietnam,Globant,LinkedIn,.Net Software Engineer,Hà Nội,"React, C#, Sql, Agile"
Intermediate/Senior Manual Tester,MealSuite,LinkedIn,QA Engineer,Hồ Chí Minh,Agile
2025 – People – Process Automation Specialist – Bangkok-based,Agoda,LinkedIn,Process Automation Specialist,Hà Nội,"Sql, Python"
Senior Java developer-Upto 60M,BlueOC Careers,LinkedIn,Backend Developer,Hà Nội,"Java, Aws, Docker"
[Hybrid] AI Engineer - LLM,Findicia,LinkedIn,AI Engineer,Hồ Chí Minh,Python
Full-stack Engineer,Elfie,LinkedIn,Full-stack Developer,Not Specified,"Docker, Typescript, Html, Css"
ML Ops Co-Founders Wanted | Experts in Machine Learning Infrastructure & Automation,Antler,LinkedIn,Other IT Role,Hồ Chí Minh,Not Specified
Senior Java Developer,Techvify,LinkedIn,Senior Java Developer,Hà Nội,"Sql, Docker, Aws, React, Java, Agile"
Full Stack Engineer,SCC,LinkedIn,Full-stack Developer,Hồ Chí Minh,"Typescript, Aws, Python, Agile, C#"
"Software Engineer II, TransferConnect",Ascenda,LinkedIn,Software Engineer,Hồ Chí Minh,Ruby
Intermediate Software Engineer,Employment Hero,LinkedIn,Backend Developer,Not Specified,"Python, Java, Php, Agile, Ruby"
[HCM] Fullstack developer,MTI Technology,LinkedIn,Full-stack Developer,Hồ Chí Minh,"Typescript, Sql, Docker, Javascript, Agile, Html/Css, Html, Css"
Software Engineer II,OPSWAT,LinkedIn,Software Engineer,Hồ Chí Minh,"C++, Agile, Sql"
Back End Developer,Masan Group,LinkedIn,Backend Developer,Hà Nội,"Sql, Javascript, Agile, React, Java, Html, Css"
Software Engineer,Pluto,LinkedIn,Frontend Developer,Not Specified,"Aws, Typescript, React, Swift"
C/C++ Developer,FPT Play,LinkedIn,C/C++ Developer,Hồ Chí Minh,"C++, Agile, C"
Analytics Engineer,Zalopay,LinkedIn,Analytics Engineer,Hồ Chí Minh,"Sql, Python"
Go Programmer,Straits Financial Group,LinkedIn,Backend Developer,Hồ Chí Minh,"Go, Python, Html/Css, Php, Css"
Android Developer,CMC Global Company Limited.,LinkedIn,Mobile Developer,Đà Nẵng,"C++, C"
iOS Engineer,Mynavi TechTus Vietnam,LinkedIn,Mobile Developer,Đà Nẵng,"Agile, Dart, Swift"
Embedded AI Engineer,Motorola Solutions,LinkedIn,Embedded Engineer,Hồ Chí Minh,"C++, Python, C"
CNC Programmer,I-TALENT VIETNAM,LinkedIn,Other IT Role,Hồ Chí Minh,
QC ENGINEER,ĐÚNG NGƯỜI ĐÚNG VIỆC Community,LinkedIn,QA Engineer,Not Specified,Agile
Full Stack Engineer,FPT Software Career,LinkedIn,Full-stack Developer,Hà Nội,"Sql, Docker, Javascript, Aws, React"
Senior Full Stack Engineer,Ringkas,LinkedIn,Full-stack Developer,Hồ Chí Minh,"Typescript, Sql, Aws, React, Agile"
Senior Software Engineer,Navigos Search Tech,LinkedIn,Backend Developer,Hồ Chí Minh,"Docker, Aws, Python, Java, Agile"
"Kỹ thuật viên, Chương trình vận hành bền vững",Google,LinkedIn,IT Project Manager,Hà Nội,
Fullstack Developer,CodeLink,LinkedIn,Full-stack Developer,Hồ Chí Minh,"Sql, Javascript, Node.Js, Aws, Python, Agile"
Senior Fullstack Developer - Odoo,"KAROFI: Chuyên gia lọc nước, thấu hiểu - chuyên sâu",LinkedIn,Full-stack Developer,Hà Nội,"Docker, Javascript, Agile, Aws, Html, Css"
Senior Java Developer,The Value Maximizer,LinkedIn,Software Engineer,Hồ Chí Minh,"Sql, Javascript, Aws, React, Java"
Kỹ sư IE,CNK Consulting Vietnam,LinkedIn,Other IT Role,Bắc Giang,Not Specified
Principle/Lead Engineer,Binance,LinkedIn,Lead Engineer,Hồ Chí Minh,"Java, React, Sql"
Mobile Application Developer,Avensys Consulting,LinkedIn,Mobile Developer,Hồ Chí Minh,"Objective-C, Javascript, Kotlin, Aws, React, Java, Agile, Swift"
Software Engineer - Integration Build,LG Electronics R&D Vietnam,LinkedIn,Software Engineer,Hà Nội,"C, Docker, C++, Python, Java"
Senior Full Stack Developer,Nimble,LinkedIn,Full-stack Developer,Đà Nẵng,"Javascript, Go, Php, Agile, Ruby"
Principal Backend Engineer,"Money Forward Vietnam Co., Ltd",LinkedIn,Backend Developer,Hồ Chí Minh,"Sql, Docker, Kotlin, Aws, Java, Agile"
"QA Automation Engineer – JavaScript/TypeScript | Tester, QA/QC",Sunbytes,LinkedIn,QA Engineer,Hồ Chí Minh,"Typescript, Javascript, Sql"
Senior/Lead Frontend Developer,One Mount,LinkedIn,Frontend Developer,Hà Nội,"Typescript, Javascript, React, Agile, Css"
Junior QA Engineer - Hanoi,AvePoint,LinkedIn,QA Engineer,Hà Nội,Agile
Frontend Developer,EnSoft Consulting,LinkedIn,Frontend Developer,Hà Nội,"Qml, Docker, C++"
Software Engineer,OPSWAT,LinkedIn,Software Engineer,Hồ Chí Minh,"C++, Agile"
Analytics Engineer,Zalopay,LinkedIn,Data Analyst,Hồ Chí Minh,"Sql, Python"
,Ban Vien Corporation,LinkedIn,Embedded Engineer,Hồ Chí Minh,"C++, C"
Manual Test Engineer,Kyanon Digital,LinkedIn,QA Engineer,Hồ Chí Minh,"Agile, Not Specified"
Senior C# Developer,Reflex Technologies Viet Nam,LinkedIn,Backend Developer,Hồ Chí Minh,C#
Unity Developer,ĐÚNG NGƯỜI ĐÚNG VIỆC Community,LinkedIn,Game Developer,Hà Nội,C#
Senior C# Developer,Cartrack,LinkedIn,Software Developer,Hồ Chí Minh,"Sql, Docker, Javascript, Agile, C#"
Data Engineer,Hitachi Digital Services,LinkedIn,Data Engineer,Hồ Chí Minh,"Aws, Agile, Sql, Python"
Fullstack TypeScript Developer,L4 Studio - Software Development Company,LinkedIn,Fullstack Developer,Hồ Chí Minh,"React, Typescript, Javascript"
Application Developer,Keyloop,LinkedIn,Application Developer,Hồ Chí Minh,"Agile, Not Specified"
Senior Java Software Engineer,VETC - Vietnam Electronic Toll Collection,LinkedIn,Software Engineer,Hà Nội,Java
Software Engineer,Viettel AI,LinkedIn,Software Engineer,Hà Nội,"C++, Go, Sql, C"
Call Center Developer,AthenaFS,LinkedIn,Backend Developer,Hà Nội,"Sql, C, Docker, Javascript, Lua Script"
Frontend Developer,Astek Vietnam,LinkedIn,Frontend Developer,Hà Nội,"Typescript, Javascript, Aws, React, Css"
Senior Developer,Endava,LinkedIn,Backend Developer,Hồ Chí Minh,"Java, Agile, Sql, Kotlin"
Senior Computer Vision Engineer,Binance,LinkedIn,Senior Computer Vision Engineer,Hồ Chí Minh,Python
Nodejs Developer,"SOTATEK., JSC",LinkedIn,Backend Developer,Hà Nội,"Typescript, Javascript"
Senior Software Engineer,Amplify,LinkedIn,Software Engineer,Hồ Chí Minh,"React, Javascript, Python"
Senior Software Engineer,QCP,LinkedIn,Software Engineer,Hồ Chí Minh,"Java, Aws"
GAME DEVELOPER,Archer Game Studio,LinkedIn,Game Developer,Hà Nội,"C#, Agile"
Principal Frontend Engineer,"Money Forward Vietnam Co., Ltd",LinkedIn,Frontend Developer,Hồ Chí Minh,"Typescript, Docker, Javascript, Agile, Aws, Go, React, Html, Ruby, Css"
Fullstack Engineer Java/React,HRS Group,LinkedIn,Full-stack Developer,Hồ Chí Minh,"Typescript, Javascript, Agile, Aws, React, Java, Html, Css"
Freelance Software Developer,Mindrift,LinkedIn,Software Developer,Not Specified,Ruby
Full Stack Engineer,WorldQuant,LinkedIn,Full-stack Developer,Hà Nội,"Typescript, Sql, Docker, Javascript, React, Python, Html/Css, Html, Css"
Senior Software Engineer,Employment Hero,LinkedIn,Backend Developer,Not Specified,"Python, Java, Php, Agile, Ruby"
Associate QA Engineer,OPSWAT,LinkedIn,QA Engineer,Hồ Chí Minh,"C, Agile, C++, Python, Java, C#"
Full Stack AI Engineer,Renesas Electronics,LinkedIn,Full Stack Engineer,Hồ Chí Minh,"Sql, Javascript, Agile, Aws, React, Python, Html, Css"
,Ban Vien Corporation,LinkedIn,Embedded Engineer,Hồ Chí Minh,"C++, C"
[iKame Games] Unity Game Developer,iKame Global,LinkedIn,Game Developer,Hà Nội,C#
Tuyển dụng kỹ sư trực hệ thống CNTT mạng Vietnamobile,NMS,LinkedIn,Network Engineer,Hà Nội,
Microsevices Developer,LTS Group,LinkedIn,Microservices Developer,Hà Nội,"C#, Sql"
Back End Developer Crypto/Blockchain domain,RBX,LinkedIn,Backend Developer,Hà Nội,"Golang, Docker, Rust"
[R&D] Technical Documentation Engineer,Bosch Vietnam,LinkedIn,Technical Documentation Engineer,Hồ Chí Minh,Not Specified
Back End Developer,HCLTech Vietnam,LinkedIn,Backend Developer,Hồ Chí Minh,"Docker, Node.Js, Golang, Python, Java"
Tester,Sapo Technology JSC,LinkedIn,QA Engineer,Hà Nội,
Frontend Engineer,Fetch Technology Vietnam,LinkedIn,Frontend Developer,Hồ Chí Minh,"Css3, Html5, Typescript, Javascript, React"
Data Engineer,Sun* Vietnam,LinkedIn,Data Engineer,Hà Nội,"Aws, Sql, Python"
